Key;Study Number;Title;Item Type;Publication Year;Author;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Search Query;;;;;;;;;;;;;
EQIQ36K9;S34;Software architecture evaluation methods based on cost benefit analysis and quantitative decision making;journalArticle;2009;"Lee, Jihyun; Kang, Sungwon; Kim, Chang-Ki";Empirical Software Engineering;;1573-7616;10.1007/s10664-008-9094-4;https://doi.org/10.1007/s10664-008-9094-4;Since many parts of the architecture evaluation steps of the Cost Benefit Analysis Method (CBAM) depend on the stakeholders’ empirical knowledge and intuition, it is very important that such an architecture evaluation method be able to faithfully reflect the knowledge of the experts in determining Architectural Strategy (AS). However, because CBAM requires the stakeholders to make a consensus or vote for collecting data for decision making, it is difficult to accurately reflect the stakeholders’ knowledge in the process. In order to overcome this limitation of CBAM, we propose the two new CBAM-based methods for software architecture evaluation, which respectively adopt the Analytic Hierarchy Process (AHP) and the Analytic Network Process (ANP). Since AHP and ANP use pair-wise comparison they are suitable for a cost and benefit analysis technique since its purpose is not to calculate correct values of benefit and cost but to decide AS with highest return on investment. For that, we first define a generic process of CBAM and develop variations from the generic process by applying AHP and ANP to obtain what we call the CBAM+AHP and CBAM+ANP methods. These new methods not only reflect the knowledge of experts more accurately but also reduce misjudgments. A case study comparison of CBAM and the two new methods is conducted using an industry software project. Because the cost benefit analysis process that we present is generic, new cost benefit analysis techniques with capabilities and characteristics different from the three methods we examine here can be derived by adopting various different constituent techniques.;SQ1;;;;;;;;;;;;;
EE3IMJSF;S35;A new AHP-based approach towards Enterprise Architecture quality attribute analysis;conferencePaper;2009;"Razavi Davoudi, Mahsa; Shams Aliee, Fereidoon";2009 Third International Conference on Research Challenges in Information Science;;;10.1109/RCIS.2009.5089297;;Enterprise Architecture (EA) as a discipline with numerous and enterprise-wide models, can support decision making on several enterprise-wide issues. In order to provide such a capability, enterprise architecture models should be amenable to analysis of various utilities and quality attributes. This paper provides a method towards enterprise architecture analysis. This approach is based on Analytical Hierarchy Process (AHP) and considers the situation of the enterprise in giving weight to the different criteria and sub-criteria of each utility. It proposes a quantitative method of measuring quality attribute achievement for each scenario using AHP based on the knowledge and experience of EA experts and domain experts and demonstrates its efficacy by applying it to a case study.;SQ1;;;;;;;;;;;;;
678JGVCR;S36;Lightweight and continuous architectural software quality assurance using the aSQA technique;conferencePaper;2010;"Christensen, Henrik Bærbak; Hansen, Klaus Marius; Lindstrøm, Bo";;;;10.1007/978-3-642-15114-9_11;https://link.springer.com/chapter/10.1007/978-3-642-15114-9_11;In this paper, we present a novel technique for assessing and prioritizing architectural quality in large-scale software development projects. The technique can be applied with relatively little effort by software architects and thus suited for agile development in which quality attributes can be assessed and prioritized, e.g., within each development sprint. We outline the processes and metrics embodied in the technique, and report initial experiences on the benefits and liabilities. In conclusion, the technique is considered valuable and a viable tool, and has benefits in an architectural, technical, context, as well as in a business and people context.;SQ1;;;;;;;;;;;;;
4E3FX7Q3;S37;Cpasa: continuous performance assessment of software architecture;conferencePaper;2010;"Pooley, RJ; Abdullatif, AAL";;1-4244-6538-9;;10.1109/ECBS.2010.16;https://ieeexplore.ieee.org/document/5457784;Software architecture is a very important factor when it comes to performance measurements. A large percentage of projects failing their potential performance characterisation was caused by badly configured architectures. Performance assessment of software architectures proved to be a successful way of preventing this risk. Non-functional requirements verification is still an uncharted area in agile development. CPASA provides a method for assessing the performance requirements using the system architecture as a base for conducting the performance study. In this paper, we introduce the steps in the CPASA method and the technical description of how to deploy this method.;SQ1;;;;;;;;;;;;;
C9A3UZBY;S38;A scenario-based framework for the security evaluation of software architecture;conferencePaper;2010;"Alkussayer, Abdulaziz; Allen, William H";;1-4244-5540-5;;;https://ieeexplore.ieee.org/document/5564015;Software security has become a crucial component of software systems in today's market. However, software security development is still a maturing process. In this paper, we present an approach for assessing software architecture to determine how well it can satisfy intended security requirements. It is important to be able to assess the security of software under development at an early stage (e.g., the design stage). By doing so we are not only reducing the probability that flaws will be introduced and ensuring that stakeholder requirements have been met, but also focusing on a stage where changes will cost just a fraction of what they would cost in later stages (e.g. implementation). This paper reports on the ongoing development of a systematic security evaluation framework that aids in assessing the level of security supported by a given architecture and provides the ability to qualitatively compare multiple architectures with respect to their security support.;SQ1;;;;;;;;;;;;;
BHSD3JKQ;S39;Security risk analysis of software architecture based on AHP;conferencePaper;2011;"Alkussayer, Abdulaziz; Allen, William H";;89-88678-43-5;;;https://ieeexplore.ieee.org/document/6058946;Many organizations and companies around the world are currently facing major security risks that threaten assets and valuable information system resources. Numerous security concerns are caused by the lack of sufficient and effective software security risk evaluation processes. Regardless of the technique used in security attacks, which change rapidly, many of these threats can be avoided. This paper presents an effective model for discovering software security risks at an early stage of the software development cycle and reports on the ongoing development of a security trust metrics of software architecture.;SQ1;;;;;;;;;;;;;
DZE629PI;S40;Security Risk Assessment of Software Architecture;conferencePaper;2011;"HajSaid, Fadi; Hassouneh, Yousef; Ammar, HH";;;;;https://www.academia.edu/21257560/Security_Risk_Assessment_of_Software_Architecture?auto=citations&from=cover_page;Security risk assessment is considered a significant and indispensible process in all phases of software development lifecycles, and most importantly at the early phases. Estimating the security risk should be integrated with the other product developments parts and this will help developers and engineers determine the risky elements in the software system, and reduce the failure consequences in that software. This is done by building models based on the data collected at the early development cycles. These models will help identify the high security risk elements. In this paper, we introduce a new methodology used at the early phases based on the Unified Modeling Language (UML), Attack graph, and other factors. We estimate the probability and severity of security failure for each element in software architecture based on UML, attack graph, data sensitivity analysis, access rights, and reachability matrix. Then risk factors are computed. An e-commerce case study is investigated as an example.;SQ1;;;;;;;;;;;;;
J4GX6P5U;S41;Assessing legacy software architecture with the autonomy ratio metric;journalArticle;2011;Dugerdil, Philippe;Software Engineering International Journal (SEIJ);;;;;Among the software quality metrics, coupling and cohesion play an important role since they provide a clue about the structuring of the classes of the system. They are, therefore, computed at the level of the classes. However, when analyzing the architecture of a system, we are not only interested in the class level, but also in the higher levels of the system structure, for example the packages and components. This is especially true when we need to assess the quality of this structuring on the viewpoint of system understanding. In this paper, we first present the motivation for the definition of two new coupling and cohesion metrics that are applicable to higher structuring levels than classes. We then present our main metric: the autonomy ratio that measures the “functional structuring” of a system that we believe is essential to system understanding. Although, traditionally, the coupling and cohesion metrics are computed based on static analysis (i.e. source code analysis to find the potential calls among the elements), we rely on dynamic analysis and present the way the metrics are computed. Finally, we present a case study of the assessment of a large industrial system based on our metrics and the findings we drew from this experiment. We conclude the paper with a discussion of the results and present the future work. The key contribution of the paper is the definition of the autonomy ratio metrics for software architecture assessment on the viewpoint of system understanding.;SQ1;;;;;;;;;;;;;
PVAHFPUD;S42;Evaluating security properties of architectures in unpredictable environments: A case for cloud;conferencePaper;2011;"Faniyi, Funmilade; Bahsoon, Rami; Evans, Andy; Kazman, Rick";;1-61284-399-9;;10.1109/WICSA.2011.25;https://ieeexplore.ieee.org/document/5959727;The continuous evolution and unpredictability underlying service-based systems leads to difficulties in making exact QoS claims about the dependability of architectures interfacing with them. Hence, there is a growing need for new methods to evaluate the dependability of architectures interfacing with such environments. This paper presents a method for evaluating the security quality attribute of architectures in service-based systems. The proposed method combines some properties of the Architectural Tradeoff Analysis Method (ATAM) and security testing using Implied Scenario. In particular, the scenario elicitation process of ATAM is improved by utilising Implied Scenario technique to generate scenarios which may be undetected using plain ATAM. An industrial case study of a problem related to securing data at the Software-as-a-Service layer on Force.com Cloud platform is adopted to validate the new method. The results indicate that our method found four additional security scenarios beyond the plain ATAM, resulting in four new risks and two new tradeoff points.;SQ1;;;;;;;;;;;;;
YNEX246D;S43;An Architecture Analysis Approach for Supporting Black-Box Software Development;conferencePaper;2011;"Admodisastro, Novia; Kotonya, Gerald";Software Architecture;978-3-642-23798-0;;10.1007/978-3-642-23798-0_17;;A typical component-based system architecture comprises a set of components that have been purposefully designed and structured to ensure that they have “pluggable” interfaces and an acceptable match with a defined system context. However, the black-box nature of many software components means there is never a clean match between system specifications and concrete software components. Systematic architecture analysis can provide an effective, rapid and relatively low-cost mechanism for addressing risks resulting from architectural adaptation and trade-offs. However, a review of current architecture analysis approaches reveals they differ widely with respect to their ability to support black-box software development. This paper describes an analysis approach that integrates the strengths of current approaches to provide a practical architecture analysis framework for black-box component-based development. The approach is illustrated using a real case study.;SQ1;;;;;;;;;;;;;
58ZDLMXK;S44;MORPHOSIS: A lightweight method facilitating sustainable software architectures;conferencePaper;2012;"Koziolek, Heiko; Domis, Dominik; Goldschmidt, Thomas; Vorst, Philipp; Weiss, Roland J";;1-4673-2809-X;;10.1109/WICSA-ECSA.212.40;https://ieeexplore.ieee.org/document/6337730;Managing the cost-effective evolution of industrial software systems is a challenging task because of their complexity and long lifetimes. Limited pro-active evolution planning and software architecture erosion often lead to huge maintenance costs in such systems. However, formerly researched approaches for evolution scenario analysis and architecture enforcement are only reluctantly applied by practitioners due to their perceived overhead and high costs. We have applied several recent sustainability evaluation and improvement approaches in a case study to the software architecture of a large industrial software system currently under development at ABB. We combined our selection of approaches in a lightweight method called MORPHOSIS, for which this paper presents experiences and lessons learned. We found that reasonable sustainability evaluation and improvement is possible already with limited efforts.;SQ1;;;;;;;;;;;;;
QK55HWH4;S45;Software architecture evolution through evolvability analysis;journalArticle;2012;"Breivold, Hongyu Pei; Crnkovic, Ivica; Larsson, Magnus";Journal of Systems and Software;;0164-1212;10.1016/j.jss.2012.05.085;https://www.sciencedirect.com/science/article/pii/S016412121200163X;"Software evolvability is a multifaceted quality attribute that describes a software system's ability to easily accommodate future changes. It is a fundamental characteristic for the efficient implementation of strategic decisions, and the increasing economic value of software. For long life systems, there is a need to address evolvability explicitly during the entire software lifecycle in order to prolong the productive lifetime of software systems. However, designing and evolving software architectures are the challenging task. To improve the ability to understand and systematically analyze the evolution of software system architectures, in this paper, we describe software architecture evolution characterization, and propose an architecture evolvability analysis process that provides replicable techniques for performing activities to aim at understanding and supporting software architecture evolution. The activities are embedded in: (i) the application of a software evolvability model; (ii) a structured qualitative method for analyzing evolvability at the architectural level; and (iii) a quantitative evolvability analysis method with explicit and quantitative treatment of stakeholders’ evolvability concerns and the impact of potential architectural solutions on evolvability. The qualitative and quantitative assessments manifested in the evolvability analysis process have been applied in two large-scale industrial software systems at ABB and Ericsson, with experiences and reflections described.";SQ1;;;;;;;;;;;;;
M9PH58PH;S46;An Approach towards Enterprise Architecture Analysis using AHP and Fuzzy AHP;journalArticle;2012;"Razavi, Mahsa; Sheikhvand, K.";International Journal of Machine Learning and Computing;;;10.7763/IJMLC.2012.V2.88;;Enterprise Architecture (EA) as a discipline that manages large amount of models and information about different aspects of the enterprise can support decision making on enterprise-wide issues. In order to provide such support, EA information should be amenable to analysis of various utilities and quality attributes. In this regard, this paper provides an approach based on Fuzzy Analytical Hierarchy Process (AHP) towards EA analysis. It proposes an extended quantitative method of assessing quality attribute achievement of different scenarios using AHP and Fuzzy AHP based on the knowledge and experience of EA experts and domain experts. Due to the uncertainty in the judgments of participants, the crisp pair-wise comparison in the conventional AHP is insufficient and imprecise to capture the right judgments. Therefore, a fuzzy logic is introduced in the pair-wise comparison of AHP in one of steps of the method. The applicability of the proposed approach is demonstrated using a practical case study.;SQ1;;;;;;;;;;;;;
8GQMH3XB;S47;On quick comprehension and assessment of software;conferencePaper;2013;"Bartoszuk, Cezary; Dąbrowski, Robert; Stencel, Krzysztof; Timoszuk, Grzegorz";;;;;https://doi.org/10.1145/2516775.2516806;"By an architecture of a software system we mean the fundamental organization of the system embodied in its components, their relationships to one another and to the system’s environment. It also encompasses principles governing the system’s design and evolution. Architectures of complex systems are obviously complex as well. The goal of our research is to harness this complexity. In this paper we focus on providing software architects with ability to quickly comprehend the complexity and assess the quality of software. The essential tools we use are: (1) a graph-based repository for collecting information on software artefacts, accompanied by (2) tools to perform software intelligence tasks, like analyzing dependencies among those artefacts, calculating their importance, and quality. On top of those tools we implement visualization methods that render the relative importance using size and the quality using colours. By means of such methods a software architect can at glance comprehend and assess the software, He/she can (1) find the starting points to dig into a complex system; (2) judge the cohesion and coupling of system components; and (3) assess the overall quality. We demonstrate this method using selected open-source projects of various sizes and qualities.";SQ1;;;;;;;;;;;;;
XGFYI6RZ;S48;On the Need of a Methodological Approach for the Assessment of Software Architectures within ISO26262;conferencePaper;2013;"Bonfiglio, Valentina; Montecchi, Leonardo; Rossi, Francesco; Bondavalli, Andrea";;;;;https://hal.archives-ouvertes.fr/hal-00848469;Safety analysis is becoming more and more important in a wide class of systems. In the automotive field, the recent ISO26262 foresees safety analysis to be performed at different levels: system, software and hardware. The assessment of architecture with respect to safety is typically better understood at system and HW levels, while an equivalent analysis at SW level has not such an established background. In literature, approaches exist to handle specific activities related to the safety assessment of software, but they are typically not so well integrated within a more general assessment and certification process. Recent safety standards put more and more emphasis on software-level safety analysis, therefore calling for a precise methodology for the assessment of software architectures. While ISO26262 requirements prescribe safety analysis of the software architecture, clear guidelines on how it should be performed are not provided, thus leaving an important gap for its industrial adoption. In this paper we provide our view on how such analysis should be performed, through the identification of a set of well defined and repeatable activities, thus providing our contribution to a timely problem of great relevance in the automotive domain.;SQ1;;;;;;;;;;;;;
WDT9Q8PH;S49;Early performance assessment in component-based software systems;journalArticle;2013;"Karimpour, Jaber; Isazadeh, Ayaz; Izadkhah, Habib";IET Software;;1751-8814;10.1049/iet-sen.2011.0143;https://digital-library.theiet.org/content/journals/10.1049/iet-sen.2011.0143;"Most techniques used to assess the qualitative characteristics of software are done in testing phase of software development. Assessment of performance in the early software development process is particularly important to risk management. Software architecture, as the first product, plays an important role in the development of the complex software systems. Using software architecture, quality attributes (such as performance, reliability and security) can be evaluated at the early stages of the software development. In this study, the authors present a framework for taking the advantages of architectural description to evaluate software performance. To do so, the authors describe static structure and architectural behaviour of a software system as the sequence diagram and the component diagram of the Unified Modelling Language (UML), respectively; then, the described model is automatically converted into the ‘interface automata’, which provides the formal foundation for the evaluation. Finally, the evaluation of architectural performance is performed using ‘queuing theory’. The proposed framework can help the software architect to choose an appropriate architecture in terms of quality or remind him/her of making necessary changes in the selected architecture. The main difference among the proposed method and other methods is that the proposed method benefits the informal description methods, such as UML, to describe the architecture of software systems; it also enjoys a formal and lightweight language, called ‘interface automata’ to provide the infrastructure for verification and evaluation.";SQ1;;;;;;;;;;;;;
9ISZRHN2;S50;Enterprise Information Systems Architecture—Analysis and Evaluation;journalArticle;2013;"Niu, Nan; Xu, Li Da; Bi, Zhuming";IEEE Transactions on Industrial Informatics;;1941-0050;10.1109/TII.2013.2238948;;Numerous software architecture proposals are available to industrial information engineers in developing their enterprise information systems. While those proposals and corresponding methodologies are helpful to engineers in determining appropriate architecture, the systematic methods for the evaluation of software architecture are scarce. To select appropriate software architecture from various alternatives appropriately, a scenario-based method has been proposed to assess how software architecture affects the fulfillment of business requirements. The empirical evaluation on the selection of a supply chain software tool has shown that the developed method offers remarkable insights of software development and can be incorporated into the industrial informatics practice of an organization with a moderate cost.;SQ1;;;;;;;;;;;;;
T4MIETGD;S51;Scenario-driven architecture assessment methodology for large data analysis systems;conferencePaper;2013;"Begoli, Edmon; Chila, Theodore F.; Inmon, William H.";2013 IEEE International Systems Conference (SysCon);;;10.1109/SysCon.2013.6549857;;The methodology we present in this paper emerged as a result of the technical and organizational assessment we conducted for a large data analytic system and for its expansion to support a significant new mission in healthcare domain. We developed a 4+1 dimensional approach for examining the different characteristics of a system with four traditional dimensions and a fifth, scenarios-based, dimension, introduced as an exploration device of the entire system in its business context. We present the principles, guidelines, and structure of the methodology as well as the results of the application of this process leading to a credible evaluation that better assesses current large data analysis systems than the previous, purely static assessment.;SQ1;;;;;;;;;;;;;
A8VPS3UH;S52;A Formal Method for Evaluation of a Modeled System Architecture;journalArticle;2013;"Rodano, Matthew; Giammarco, Kristin";Procedia Computer Science;;;10.1016/j.procs.2013.09.263;;Modeling is a powerful way to represent the desired organization and performance of a particular system and how it will meet the desired system objectives. There is a multitude of modeling methods, but determining whether the completed model effectively represents the desired system organization can be a challenge. System engineers can inspect the modeled system architecture to determine whether it is acceptable, but few formal methods exist to aid in the performance of this task. In practice, engineers apply heuristics and their experience to identify the characteristics of a “good” architecture. By formalizing these characteristics using logical notation, the quality attributes that constitute a “good” system architecture can be quantified and applied to determine the quality of an architectural model. Because these attributes are defined using a general notation, they can be instantiated using many system architecture tools and can be adapted to meet the needs of a specific architectural framework or particular project.;SQ1;;;;;;;;;;;;;
Q5RKFZMI;S53;Towards quantitative metrics for architecture models;conferencePaper;2014;"Sehestedt, Stephan; Cheng, Chih-Hong; Bouwers, Eric";Proceedings of the WICSA 2014 Companion Volume;978-1-4503-2523-3;;10.1145/2578128.2578226;https://doi.org/10.1145/2578128.2578226;Software architectures and their representations in models are instrumental in achieving sustainability and the fulfillment of requirements. In this context, sustainability encompasses cost efficient maintainability and evolvability, which are central concerns for long living software systems. Hence, it is of great importance to support an architect in addressing these concerns when designing and evolving architectures. However, there is no framework available in which a designed architecture can be evaluated against these important quality attributes. In this paper, we address this challenge by proposing seven metrics which characterize the completeness, consistency, correctness and clarity of the documentation. These seven metrics should enable an architect to efficiently identify issues in an architecture model.;SQ1;;;;;;;;;;;;;
ALBYH9E5;S54;Software with service oriented architecture quality assessment;conferencePaper;2014;"Nuraini, Aminah; Widyani, Yani";2014 International Conference on Data and Software Engineering (ICODSE);;;10.1109/ICODSE.2014.7062707;;Service Oriented Architecture (SOA) is becoming popular since its flexibility fulfill the need of rapidly changing enterprise requirement. Therefore, expectation of a good quality software with SOA is getting higher. To address this need, this paper presents a guideline to conduct quality assessment using an existing tool. The quality assessment model is designed by selecting the relevant quality factors, choosing an appropriate quality to metric mapping method, identifying the relevant metrics, and mapping each quality factor to the metrics. Using the model, the quality assessment process is prepared by identifying data and selecting the appropriate tools. The chosen tool may require some modification. The proposed quality assessment guideline can help the software quality assurance team to assess quality of their software with SOA. The proposed guideline has been used to assess the quality of an existing sofware with SOA (Bonita BPM). The result is considered as promising, although several improvement are still needed.;SQ1;;;;;;;;;;;;;
ESPG69K6;S55;Model-based energy efficiency analysis of software architectures;conferencePaper;2015;"Stier, Christian; Koziolek, Anne; Groenda, Henning; Reussner, Ralf";;;;10.1007/978-3-319-23727-5_18;https://link.springer.com/chapter/10.1007/978-3-319-23727-5_18;Design-time quality analysis of software architectures evaluates the impact of design decisions in quality dimensions such as performance. Architectural design decisions decisively impact the energy efficiency (EE) of software systems. Low EE not only results in higher operational cost due to power consumption. It indirectly necessitates additional capacity in the power distribution infrastructure of the target deployment environment. Methodologies that analyze EE of software systems are yet to reach an abstraction suited for architecture-level reasoning. This paper outlines a model-based approach for evaluating the EE of software architectures. First, we present a model that describes the central power consumption characteristics of a software system. We couple the model with an existing model-based performance prediction approach to evaluate the consumption characteristics of a software architecture in varying usage contexts. Several experiments show the accuracy of our architecture-level consumption predictions. Energy consumption predictions reach an error of less than 5.5% for stable and 3.7% for varying workloads. Finally, we present a round-trip design scenario that illustrates how the explicit consideration of EE supports software architects in making informed trade-off decisions between performance and EE.;SQ1;;;;;;;;;;;;;
EZ4H67TL;S56;An empirical evaluation model for software architecture maintainability for object oriented design;conferencePaper;2016;"Dayanandan, Udaya; Vivekanandan, K";;;;;https://dl.acm.org/doi/10.1145/2980258.2980459;The success of any software depends on the achievement of the quality requirements of the system. For this reason, the evaluation of software architecture to meet its quality demands is necessary. With regard to a set of desired quality attribute, Maintainability is considered as an important software attribute that plays a major role in quality level. The direct measurement of this quality is difficult because there is no standard method to measure quality factors. Many researchers have been still going on in relating quality analysis that attempts to measure quality in terms of attributes, design properties and metrics. In this work we have proposed a measurement model expressed in terms of mathematical formulas by taking ideas from the existing models. With a new set of metrics associated with the external and internal quality attributes, weights are defined and evaluated. According to ISO 25010, Maintainability and its sub-characteristics, Modularity, Reusability, Analyzability, Modifiability and Testability are evaluated using the proposed metrics. The designed model is to be validated using a case study.;SQ1;;;;;;;;;;;;;
A6ZFYKNG;S57;Statistical model checking of dynamic software architectures;conferencePaper;2016;"Cavalcante, Everton; Quilbeuf, Jean; Traonouez, Louis-Marie; Oquendo, Flavio; Batista, Thais; Legay, Axel";European Conference on Software Architecture;;;;;;SQ1;;;;;;;;;;;;;
6D54UG6B;S58;SPARTA: Security & Privacy Architecture Through Risk-Driven Threat Assessment;conferencePaper;2018;"Sion, Laurens; Van Landuyt, Dimitri; Yskout, Koen; Joosen, Wouter";2018 IEEE International Conference on Software Architecture Companion (ICSA-C);;;10.1109/ICSA-C.2018.00032;;The development of secure and privacy-preserving software systems entails the continuous consideration of the security and privacy aspects of the system under development. While contemporary software development practices do support such a continuous approach towards software development, existing threat modeling activities are commonly executed as single-shot efforts leading to a single, historic, and quickly obsolete view on the security and privacy of the system. This disconnect leads to undetected new issues and wasted efforts on already resolved problems, effectively accruing technical debt. The presented SPARTA prototype facilitates the consideration of security and privacy by providing support for: (i) capturing security and privacy design decisions in a DFD-based architectural abstraction, (ii) continuous threat elicitation on this knowledge-enriched abstraction, and (iii) risk analysis of the elicited threats for prioritizing security and privacy efforts. By capturing and continuously assessing the impact of security and privacy design decisions on the elicited threats, the progress towards securing the system can be assessed and alternatives can be compared, taking into account past and present design decisions.;SQ1;;;;;;;;;;;;;
TK9RIGG6;S59;Software Architectural Quality Assessment Model for Security Analysis Using Fuzzy Analytical Hierarchy Process (FAHP) Method;journalArticle;2018;"Dayanandan, Udaya; Kalimuthu, Vivekanandan";3D Research;;;10.1007/s13319-018-0183-x;https://ui.adsabs.harvard.edu/abs/2018TDR.....9..183D;In the last decade, the greater need for quality software led to the development of quality assessment especially at the software architecture (SA) level. Since software security is an important quality attribute, several models have been evolved to validate the security related issues at the SA level. This paper proposes a Fuzzy Analytical Hierarchy Process (FAHP) with Buckley method for security assessment at the SA level for object-oriented design. FAHP is a Multi-Criteria Decision Making approach which employs linguistic variables as a pair-wise comparison matrix to derive priorities of various selection attributes and sub-attributes. In addition, the proposed work uses genetic algorithm to fill the missing values in the comparison matrix of FAHP. The validation of FAHP model takes place by the use of four versions of apache Tomcat series namely TC 7.0.6, TC 7.0.22, TC 7.0.39 and TC 7.0.47. The obtained results ensure that the proposed FAHP model with Buckley method performs well than existing methods in terms of security index to measure the performance at the SA level and defect density ratio to validate the results.;SQ1;;;;;;;;;;;;;
XIDWFILD;S60;Availability Assessment of Software Systems Architecture Using Formal Models;journalArticle;2018;"Sadeghian, Mahbubeh; Motameni, Homayun";International Journal of Computer Applications Technology and Research;;23198656;10.7753/IJCATR0705.1001;http://ijcat.com/archieve/volume7/issue5/ijcatr07051001.pdf;There has been a significant effort to analyze, design and implement the information systems to process the information and data, and solve various problems. On the one hand, complexity of the contemporary systems, and eye-catching increase in the variety and volume of information has led to great number of the components and elements, and more complex structure and organization of the information systems. On the other hand, it is necessary to develop the systems which meet all of the stakeholders' functional and non-functional requirements. Considering the fact that evaluation and assessment of the aforementioned requirements - prior to the design and implementation phases - will consume less time and reduce costs, the best time to measure the evaluable behavior of the system is when its software architecture is provided. One of the ways to evaluate the architecture of software is creation of an executable model of architecture.;SQ1;;;;;;;;;;;;;
UIK8VX4H;S61;A Fuzzy Analytical Hierarchy Process (FAHP) Based Software Quality Assessment Model: Maintainability Analysis;journalArticle;2018;"Dayanandan, Udaya; Kalimuthu, Vivekanandan";International Journal of Intelligent Engineering and Systems;;;10.22266/ijies2018.0831.09;;Software quality assessment at the architectural level is efficient because it provides various advantages to find and fix design errors at the earliest stage of software development life cycle (SDLC).Numerous methods have been evolved to validate quality-related issues at the architectural level. The software quality comprises of a total of eight attributes where maintainability is one of the important attribute which affects the overall system quality. Though few methods are available for maintainability analysis, none of the state of art method employs fuzzy logic with Quality Model for Object Oriented Design (QMOOD) metric suite. In this paper, the fuzzy analytic hierarchy process (FAHP) method is proposed with Buckley method to evaluate the influence of maintainability and its subattributes in software quality at the architectural level. The proposed evaluation model is tested against several versions of the MFC and OWL windows application frameworks and the obtained results are compared with the state-of-the-art methods. This experimental analysis shows that the FAHP with Buckley method is superior to the other compared methods.;SQ1;;;;;;;;;;;;;
72N9A55J;S62;Assessing migration of a 20-year-old system to a micro-service platform using ATAM;conferencePaper;2019;"Cruz, Pablo; Astudillo, Hernán; Hilliard, Rich; Collado, Miguel";;1-72811-876-X;;10.1109/ICSA-C.2019.00039;https://ieeexplore.ieee.org/abstract/document/8712154;Architecture evaluation is a systematic approach to evaluate target architectures and ATAM (Architectural Trade-off Analysis Method) is one of the available methods. Migration of software systems imply many architectural decisions that should be systematically evaluated to assess concrete trade-offs and risks. This article reports on the ATAM usage at a mid-size Chilean specialty software development company to assess the migration of its 20-year old flagship product to a micro-service platform. Over three days, 10 key architectural decisions, addressing 35 scenarios, were considered. Since almost all requirements were deemed essential for legal reasons, the evaluation scheme used a modified importance dimension distinguishing among business-key (first line deal breakers), legally-mandated (second-line deal breakers), and desirable requirements. Key lessons learned include the very positive client feedback on the introduction of systematic evaluation of architectural choices using business criteria.;SQ1;;;;;;;;;;;;;
YYX4Y38F;S63;Early reliability assessment of component-based software system using colored petri net;journalArticle;2019;"Hosseinzadeh-Mokarram, Amir; Isazadeh, Ayaz; Izadkhah, Habib";Turkish Journal of Electrical Engineering and Computer Sciences;;1300-0632;10.3906/elk-1805-82;http://search/yayin/detay/337189;Assessment of reliability in the early stages of software development from architectural models is one ofthe major challenges that many studies have addressed in this field in the last decade. The main drawbacks of existingmethods are the following: 1) considering equal impact for all parts of the software architecture on system reliability,and 2) inability to determine the contribution of each part of the software in the system failure. This paper introducesthe extended version of the colored petri net as an underlying verifiable model to evaluate the reliability of a softwaresystem. The proposed model enhances reliability assessment of the software system by measuring the density of failure foreach part of the software system, predicting the reliability during execution of a scenario, and estimating the reliabilityof every structural part of a program, such as loops and conditions. These innovations enable software architects tocost-effectively identify and correct the vulnerable parts of a system in the early stages of software development. Thehigh-level model of the scenario is taken as a UML sequence diagram. Synthesis of the formal model is conducted usingan introduced graph called a fragments dependency graph. The practicality of the suggested approach is illustrated bya case study.;SQ1;;;;;;;;;;;;;
3IZVDV6F;S64;Quick Evaluation of a Software Architecture Using the Decision-Centric Architecture Review Method: An Experience Report;conferencePaper;2020;"Cruz, Pablo; Salinas, Luis; Astudillo, Hernán";;;;;https://link.springer.com/chapter/10.1007/978-3-030-58923-3_19;Software architecture evaluations allow systematic checking of software architecture fitness regarding the context and business. However, selecting and using an evaluation method always have some challenges and issues. This article reports an architecture review while developing an innovation projects support platform for a Chilean R&D and engineering institution. We chose DCAR (Decision-Centric Architecture Review) because it has lightweight requirements on documentation and resources, it can evaluate a project already running, and it did not impact a schedule where architecture reviews had not been considered from the start. We describe the review of three accepted and one rejected decisions. Lessons learned and benefits observed include recording decisions’ rationale, visibilization of some technological issues, and rethinking of some previously made architectural decisions. Finally, we recommend making frequent mini-reviews of architecture decisions, to understand the architecture, formalize it with its resulting reports, and raise its visibility in the team itself.;SQ1;;;;;;;;;;;;;
