Title;Authors;Publication;Volume;Number;Pages;Year;Publisher;Search Query;Duplicate removal;I1 (SA Method);I2 (software only);I3 (english);I4 (available);I5 (peer reviewed);E1 (Removal of secondary study);E2 (Unavailable);Included for data extraction;;;;
A cognitive model for software architecture complexity;"Bouwers, Eric; Visser, Joost; Lilienthal, Carola; van Deursen, Arie;";2010 IEEE 18th International Conference on Program Comprehension;;;152-155;2010;IEEE;SQ1;;;;x;x;;;;;;;;
ATAM-RPG: A role-playing game to teach architecture trade-off analysis method (ATAM);"Montenegro, Claudia Hidalgo; Astudillo, Hernán; Álvarez, María Clara Gómez;";2017 XLIII Latin American Computer Conference (CLEI);;;1-9;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Softarch/mte: Generating distributed system test-beds from high-level software architecture descriptions;"Grundy, John; Cai, Yuhong; Liu, Anna;";Automated Software Engineering;12;1;5-39;2005;Springer;SQ1;;;;x;x;x;;;;;;;
Performance evaluation of software architectures;"Williams, Lloyd G; Smith, Connie U;";Proceedings of the 1st international workshop on Software and performance;;;164-177;1998;;SQ1;;;;x;x;x;;;;;;;
CERTICS assessment methodology for software technological development and innovation;"Alves, Angela M; Salviano, Clenio F; Stefanuto, Giancarlo N; Maintinguer, Sônia T; Mattos, Carolina V; Zeitoum, Camila; Martinez, Marcia; Reuss, Giancarlo;";2014 9th International Conference on the Quality of Information and Communications Technology;;;174-177;2014;IEEE;SQ1;;;;x;x;x;;;;;;;
A scenario-driven approach for value, risk, and cost analysis in system architecting for innovation;"Ionita, Mugurel T; America, Pierre; Hammer, Dieter K; Obbink, Henk; Trienekens, Jos JM;";Proceedings. Fourth Working IEEE/IFIP Conference on Software Architecture (WICSA 2004);;;277-280;2004;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Visualizing metrics on areas of interest in software architecture diagrams;"Byelas, Heorhiy; Telea, Alexandru;";2009 IEEE Pacific Visualization Symposium;;;33-40;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Method for software maintenance risk assessment at architecture level;"Tombe, RONALD; Kimani, Dr S; Okeyo, Dr G;";Journal of international academic research for multidisciplinary ISSN;;;2320-5083;2014;Citeseer;SQ1;;;;x;x;x;;;;;;;
Initial evidence for understanding the relationship between product line architecture and software architecture recovery;"Neto, Crescencio Rodrigues Lima; Cardoso, Mateus Passos Soares; Chavez, Christina von Flach Garcia; De Almeida, Eduardo Santana;";2015 IX Brazilian Symposium on Components, Architectures and Reuse Software;;;40-49;2015;IEEE;SQ1;;;;x;x;x;;;;;;;
Component-based Software Safety Assessment Method;"GU, Tao; ZHOU, Qing; LING, Dong-yi; WANG, Shi-hai;";;;;;;;SQ1;;;;x;x;x;;;;;;;
A software architecture and framework for Web-based distributed Decision Support Systems;"Zhang, Shifeng; Goddard, Steve;";Decision Support Systems;43;4;1133-1150;2007;Elsevier;SQ1;;;;x;x;x;;;;;;;
Bridging the gap: business and software architecture;"Malveau, Raphael;";Cutter Consortium;;;;2004;;SQ1;;;;x;x;x;;;;;;;
Research on software architecture of prognostics and health management system for civil aircraft;"Wang, Fei; Pan, Shunliang; Xiong, Yi; Fang, Hongzheng; Wang, Dezhi;";2017 International Conference on Sensing, Diagnostics, Prognostics, and Control (SDPC);;;510-513;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Identification of System Software Components Using Clustering Approach.;"Shahmohammadi, Gholamreza; Jalili, Saeed; Hasheminejad, Seyed Mohammad Hossein;";J. Object Technol.;9;6;77-98;2010;;SQ1;;;;x;x;x;;;;;;;
Overview and software architecture of the copernicus trajectory design and optimization system;"Williams, Jacob; Senent, Juan S; Ocampo, Cesar; Mathur, Ravi; Davis, Elizabeth C;";4th International Conference on Astrodynamics Tools and Techniques;;JSC-CN-20553;;2010;;SQ1;;;;x;x;x;;;;;;;
A software architecture for data pre-processing using data mining and decision support models;"Bohanec, Marko; Moyle, Steve; Wettschereck, Dietrich; Miksovsk, P;";ECML/PKDD;1;;13-24;2001;;SQ1;;;;x;x;x;;;;;;;
Attribute-based architecture styles;"Klein, Mark H; Kazman, Rick; Bass, Len; Carriere, Jeromy; Barbacci, Mario; Lipson, Howard;";Working Conference on Software Architecture;;;225-243;1999;Springer;SQ1;;;;x;x;x;;;;;;;
Vulnerabilities in continuous delivery pipelines? A case study;"Paule, Christina; Düllmann, Thomas F; Van Hoorn, André;";2019 IEEE international conference on software architecture companion (ICSA-C);;;102-108;2019;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecture attributes of multi-agent systems;"Shehory, Onn;";International Workshop on Agent-Oriented Software Engineering;;;77-90;2000;Springer;SQ1;;;;x;x;x;;;;;;;
The Role of Software Architecture and Trusted Computing in Software Design Guiding Principles and Quality Assessment Standard;"Dioa, Mingguang; Xue, Tao; Zou, SenZhong;";2012 National Conference on Information Technology and Computer Science;;;203-206;2012;Atlantis Press;SQ1;;;;x;x;x;;;;;;;
On quick comprehension and assessment of software;"Bartoszuk, Cezary; Dąbrowski, Robert; Stencel, Krzysztof; Timoszuk, Grzegorz;";Proceedings of the 14th International Conference on Computer Systems and Technologies;;;161-168;2013;;SQ1;;x;x;x;x;x;;;x;;;;
Models of Software Architecture;"Störrle, Harald;";Munich: Ludwig Maximilians University;;;;2000;;SQ1;;;;x;x;x;;;;;;;
Adapting threat modeling methods for the automotive industry;"Karahasanovic, Adi; Kleberger, Pierre; Almgren, Magnus;";Proceedings of the 15th ESCAR Conference;;;1-10;2017;;SQ1;;;;x;x;x;;;;;;;
Software architecture for big data and the cloud;"Mistrík, Ivan; Bahsoon, Rami; Ali, Nour; Heisel, Maritta; Maxim, Bruce;";;;;;2017;Morgan Kaufmann;SQ1;;;;x;x;;;;;;;;
Design and multicentric implementation of a generic software architecture for patient recruitment systems re-using existing HIS tools and routine patient data;"Trinczek, Benjamin; Köpcke, F; Leusch, T; Majeed, RW; Schreiweis, B; Wenk, J; Bergh, B; Ohmann, C; Röhrig, R; Prokosch, HU;";Applied clinical informatics;5;1;264-283;2014;Schattauer GmbH;SQ1;;;;x;x;x;;;;;;;
Towards an MDA-based development methodology;"Gavras, Anastasius; Belaunde, Mariano; Pires, Luís Ferreira; Almeida, João Paulo A;";European Workshop on Software Architecture;;;230-240;2004;Springer;SQ1;;;;x;x;x;;;;;;;
Based Methodology for Adaption of Automotive E/E-Architectures;"Obergfell, Philipp; Oszwald, Florian; Traub, Matthias; Sax, Eric;";2018 IEEE International Conference on Software Architecture Companion (ICSA-C);;;128-135;2018;IEEE;SQ1;;;;x;x;x;;;;;;;
Toward agile architecture: Insights from 15 years of ATAM data;"Bellomo, Stephany; Gorton, Ian; Kazman, Rick;";IEEE Software;32;5;38-45;2015;IEEE;SQ1;;;;x;x;x;;;;;;;
Determining microservice boundaries: a case study using static and dynamic software analysis;"Matias, Tiago; Correia, Filipe F; Fritzsch, Jonas; Bogner, Justus; Ferreira, Hugo S; Restivo, André;";European Conference on Software Architecture;;;315-332;2020;Springer;SQ1;;;;x;x;x;;;;;;;
The value of a usability-supporting architectural pattern in software architecture design: a controlled experiment;"Golden, Elspeth; John, Bonnie E; Bass, Len;";Proceedings of the 27th international conference on software engineering;;;460-469;2005;;SQ1;;;;x;x;x;;;;;;;
The design of software architecture for e-learning platforms;"Zhou, Dongdai; Zhang, Zhuo; Zhong, Shaochun; Xie, Pan;";International Conference on Technologies for E-Learning and Digital Entertainment;;;32-40;2008;Springer;SQ1;;;;x;x;x;;;;;;;
State of the practice survey: Predicting the influence of ai adoption on system software architecture in traditional embedded systems;"Jahić, Jasmin; Roitsch, Robin;";European Conference on Software Architecture;;;155-169;2020;Springer;SQ1;;;;x;x;x;;;;;;;
Software architecture: The next step;"Bosch, Jan;";European Workshop on Software Architecture;;;194-199;2004;Springer;SQ1;;;;x;x;x;;;;;;;
A methodology for enhanced flexibility of integrated assessment in agriculture;"Ewert, Frank; van Ittersum, Martin K; Bezlepkina, Irina; Therond, Olivier; Andersen, Erling; Belhouchette, Hatem; Bockstaller, Christian; Brouwer, Floor; Heckelei, Thomas; Janssen, Sander;";Environmental science & policy;12;5;546-561;2009;Elsevier;SQ1;;;;x;x;x;;;;;;;
Software architectural design meets security engineering;"Bode, Stephan; Fischer, Anja; Kühnhauser, Winfried; Riebisch, Matthias;";2009 16th Annual IEEE International Conference and Workshop on the Engineering of Computer Based Systems;;;109-118;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Relationship between features volatility and software architecture design stability in object-oriented software: Preliminary analysis;"Handani, Felix; Rochimah, Siti;";2015 International Conference on Information Technology Systems and Innovation (ICITSI);;;1-5;2015;IEEE;SQ1;;;;x;x;x;;;;;;;
Assessing the Suitability of a Standard Design Method for Modeling Software Architectures;"Irvine, CA;";Software Architecture: TC2 First Working IFIP Conference on Software Architecture (WICSA1) 22–24 February 1999, San Antonio, Texas, USA;12;;161;1999;Springer Science & Business Media;SQ1;;;;x;x;x;;;;;;;
Ripple effect to evaluate the impact of changes in architectural design decisions;"Carrillo, Carlos; Capilla, Rafael;";Proceedings of the 12th European Conference on Software Architecture: Companion Proceedings;;;1-8;2018;;SQ1;;;;x;x;x;;;;;;;
Investigations in applying metrics to multi-view architecture models;"Muskens, Johan; Chaudron, Michel; Lange, Christian;";Proceedings. 30th Euromicro Conference, 2004.;;;372-379;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
A method to elicit architecturally sensitive usability requirements: its integration into a software development process;"Rafla, Tamer; Robillard, Pierre N; Desmarais, Michel;";Software Quality Journal;15;2;117-133;2007;Springer;SQ1;;;;x;x;x;;;;;;;
Towards software multioperability: bridging heterogeneous software interoperability platforms;"Medvidovic, Nenad; Gamble, R; Rosenblum, D;";Proceedings, Fourth International Software Architecture Workshop;;;;2000;;SQ1;;;;x;x;x;;;;;;;
Quality assessment in software product lines;"Etxeberria, Leire; Sagardui, Goiuria;";International Conference on Software Reuse;;;178-181;2008;Springer;SQ1;;;;x;x;x;;;;;;;
A model-driven architectural design method for big data analytics applications;"Castellanos, Camilo; Pérez, Boris; Correal, Darío; Varela, Carlos A;";2020 IEEE International Conference on Software Architecture Companion (ICSA-C);;;89-94;2020;IEEE;SQ1;;;;x;x;x;;;;;;;
Classifying architectural constraints as a basis for software quality assessment;"Giesecke, Simon; Hasselbring, Wilhelm; Riebisch, Matthias;";Advanced Engineering Informatics;21;2;169-179;2007;Elsevier;SQ1;;;;x;x;x;;;;;;;
Motion Analysis System (MAS) for production and ergonomics assessment in the manufacturing processes;"Bortolini, Marco; Faccio, Maurizio; Gamberi, Mauro; Pilati, Francesco;";Computers & Industrial Engineering;139;;105485;2020;Elsevier;SQ1;;;;x;x;x;;;;;;;
Assessing value of software architecture: a case study;"Ojala, Pasi;";WSEAS Transactions on Information Science and Applications;5;9;1-10;2008;Citeseer;SQ1;;;;x;x;x;;;;;;;
Software quality assurance: in large scale and complex software-intensive systems;"Mistrík, Ivan; Soley, Richard M; Ali, Nour; Grundy, John; Tekinerdogan, Bedir;";;;;;2015;Morgan Kaufmann;SQ1;;;;x;x;;;;;;;;
Recommending refactorings to reverse software architecture erosion;"Terra, Ricardo; Valente, Marco Tulio; Czarnecki, Krzysztof; Bigonha, Roberto S;";2012 16th European Conference on Software Maintenance and Reengineering;;;335-340;2012;IEEE;SQ1;;;;x;x;x;;;;;;;
Quality aware software product line engineering;"Etxeberria, Leire; Sagardui, Goiuria; Belategi, Lorea;";Journal of the Brazilian Computer Society;14;1;57-69;2008;Springer;SQ1;;;;x;x;x;;;;;;;
EAM: Ecosystemability assessment method;"Knauss, Eric; Hammouda, Imed;";2014 IEEE 22nd International Requirements Engineering Conference (RE);;;319-320;2014;IEEE;SQ1;;;;x;x;x;;;;;;;
Using feature modeling for program comprehension and software architecture recovery;"Pashov, Ilian; Riebisch, Matthias;";Proceedings. 11th IEEE International Conference and Workshop on the Engineering of Computer-Based Systems, 2004.;;;406-417;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
A quantitative model for assessing visual simulation software architecture;"Harder, Robert W;";;;;;2011;NAVAL POSTGRADUATE SCHOOL MONTEREY CA DEPT OF COMPUTER SCIENCE;SQ1;;;;x;x;;;;;;;;
Evaluating information systems development methods: a new framework;"Bielkowicz, Peter; Patel, Preeti; Tun, Thein Than;";International Conference on Object-Oriented Information Systems;;;311-322;2002;Springer;SQ1;;;;x;x;x;;;;;;;
Applying dynamic change impact analysis in component-based architecture design;"Feng, Tie; Maletic, Jonathan I;";Seventh ACIS International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing (SNPD'06);;;43-48;2006;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Dialogue-based supervision and explanation of robot spatial beliefs: a software architecture perspective;"Buoncompagni, Luca; Mastrogiovanni, Fulvio;";2018 27th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN);;;977-984;2018;IEEE;SQ1;;;;x;x;x;;;;;;;
Coordination implications of software architecture in a global software development project;"Avritzer, Alberto; Paulish, Daniel; Cai, Yuanfang; Sethi, Kanwarpreet;";Journal of Systems and Software;83;10;1881-1895;2010;Elsevier;SQ1;;;;x;x;x;;;;;;;
Research on Complex Networks Community Characteristics for Software Architecture;"Huai-bin, QIN; Bin, LIANG; Ming-wen, SHAO;";微电子学与计算机;29;4;6-9;2012;微电子学与计算机;SQ1;;;;x;x;x;;;;;;;
Formal modeling and analysis of software architecture: Components, connectors, and events;"Garlan, David;";International School on Formal Methods for the Design of Computer, Communication and Software Systems;;;1-24;2003;Springer;SQ1;;;;x;x;x;;;;;;;
A guide to the assessment of software development methods;"Wood, Bill; Pethia, Richard; Gold, Lauren R; Firth, Robert;";;;;;1988;CARNEGIE-MELLON UNIV PITTSBURGH PA SOFTWARE ENGINEERING INST;SQ1;;;;x;x;x;;;;;;;
Development of a new tool for dynamic security assessment using dynamic security region;"Zeng, Yuan; Zhang, Pei; Wang, Meihong; Jia, Hongjie; Yu, Yixin; Lee, Stephen T;";2006 International Conference on Power System Technology;;;1-5;2006;IEEE;SQ1;;;;x;x;x;;;;;;;
Functional Decomposition for Software Architecture Evolution;"Faitelson, David; Heinrich, Robert; Tyszberowicz, Shmuel;";International Conference on Model-Driven Engineering and Software Development;;;377-400;2017;Springer;SQ1;;;;x;x;x;;;;;;;
Software Architecture for Health Care Supportive Home Systems to Assist Patients with Diabetes Mellitus;"Garcés, Lina; Vicente, Isabella Zanin; Nakagawa, Elisa Yumi;";2019 IEEE 32nd International Symposium on Computer-Based Medical Systems (CBMS);;;249-252;2019;IEEE;SQ1;;;;x;x;x;;;;;;;
Consider of fault propagation in architecture-based software reliability analysis;"Zhang, Fan; Zhou, Xingshe; Dong, Yunwei; Chen, Junwen;";2009 IEEE/ACS International Conference on Computer Systems and Applications;;;783-786;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
A Pattern-Driven Process Model for Quality-Centered Software Architecture Design--A Case Study on Usability-Centered Design;"Kaartinen, Jukka; Palviainen, Jarmo; Koskimies, Kai;";2007 Australian Software Engineering Conference (ASWEC'07);;;17-26;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
Desarm: A decentralized mechanism for discovering software architecture models at runtime in distributed systems;"Porter, Jason;";;;;;2019;;SQ1;;;;x;x;x;;;;;;;
Product-line architecture: New issues for evaluation;"Etxeberria, Leire; Sagardui, Goiuria;";International Conference on Software Product Lines;;;174-185;2005;Springer;SQ1;;;;x;x;x;;;;;;;
The design of a software architecture solution to address impersonation in online assessments in higher education;"Maduveko, Stephen;";;;;;2020;Cape Peninsula University of Technology;SQ1;;;;x;x;x;;;;;;;
A software architectural design method for large-scale distributed information systems;"Gomaa, Hassan; Menascé, Daniel; Kerschberg, Larry;";Distributed Systems Engineering;3;3;162;1996;IOP Publishing;SQ1;;;;x;x;x;;;;;;;
Implications of responsive space on the flight software architecture;"Wilmot, Jonathan;";;;;;2006;;SQ1;;;;x;x;x;;;;;;;
Using dependency model to support software architecture evolution;"Breivold, Hongyu Pei; Crnkovic, Ivica; Land, Rikard; Larsson, Stig;";2008 23rd IEEE/ACM International Conference on Automated Software Engineering-Workshops;;;82-91;2008;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
An architectural quality assessment for domain-specific software;"Hu, Changjun; Jiao, Feng; Zhao, Chongchong;";2008 International Conference on Computer Science and Software Engineering;2;;143-146;2008;IEEE;SQ1;;;;x;x;x;;;;;;;
Some metrics for accessing quality of product line architecture;"Zhang, Tao; Deng, Lei; Wu, Jian; Zhou, Qiaoming; Ma, Chunyan;";2008 International Conference on Computer Science and Software Engineering;2;;500-503;2008;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Towards a Method for Analyzing Architectural Support Levels of Usability;"Biel, Bettina; Gruhn, Volker;";2009 Joint Working IEEE/IFIP Conference on Software Architecture & European Conference on Software Architecture;;;273-276;2009;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Quantifiable software architecture for dependable systems of systems;"Liang, Sheldon X; Puett, Joseph F;";Architecting Dependable Systems II;;;241-265;2004;Springer;SQ1;;;;x;x;x;;;;;;;
Architectural-level risk analysis using UML;"Goseva-Popstojanova, Katerina; Hassan, Ahmed; Guedem, Ajith; Abdelmoez, Walid; Nassar, Diaa Eldin M; Ammar, Hany; Mili, Ali;";IEEE transactions on software engineering;29;10;946-960;2003;IEEE;SQ1;;;;x;x;x;;;;;;;
Beyond ATAM: Early architecture evaluation method for large-scale distributed systems;"Zalewski, Andrzej; Kijas, Szymon;";Journal of Systems and Software;86;3;683-697;2013;Elsevier;SQ1;;;;x;x;x;;;;;;;
Characterizing the contribution of quality requirements to software sustainability;"Condori-Fernandez, Nelly; Lago, Patricia;";Journal of systems and software;137;;289-305;2018;Elsevier;SQ1;;;;x;x;x;;;;;;;
Microservice architecture reconstruction and visualization techniques: A review;"Cerny, Tomas; Abdelfattah, Amr S; Bushong, Vincent; Al Maruf, Abdullah; Taibi, Davide;";2022 IEEE International Conference on Service-Oriented System Engineering (SOSE);;;39-48;2022;IEEE;SQ1;;;;x;x;x;x;;;;;;
Model-based energy efficiency analysis of software architectures;"Stier, Christian; Koziolek, Anne; Groenda, Henning; Reussner, Ralf;";European conference on software architecture;;;221-238;2015;Springer;SQ1;;x;x;x;x;x;;;x;;;;
Software architecture decomposition using attributes;"Lung, Chung-Horng; Xu, Xia; Zaman, Marzia;";International Journal of Software Engineering and Knowledge Engineering;17;5;599-613;2007;World Scientific;SQ1;;;;x;x;x;;;;;;;
On architectural stability and evolution;"Jazayeri, Mehdi;";International Conference on Reliable Software Technologies;;;13-23;2002;Springer;SQ1;;;;x;x;x;;;;;;;
New Trends in Software Methodologies, Tools and Techniques: Proceedings of Lyee-W02;"Fujita, Hamido; Johannesson, Paul;";;84;;;2002;IOS Press;SQ1;;;;x;x;;;;;;;;
Evolutionary and collaborative software architecture recovery with Softwarenaut;"Lungu, Mircea; Lanza, Michele; Nierstrasz, Oscar;";Science of Computer Programming;79;;204-223;2014;Elsevier;SQ1;;;;x;x;x;;;;;;;
Design and development of algorithmic assisted framework for improved software architecture evaluation;"Dhaya, C;";;;;;2013;Department of Computer Science and Engineering;SQ1;;;;x;x;;;;;;;;
Analysis of the Risk Assessment Methods–A Survey;"Georgieva, Konstantina; Farooq, Ayaz; Dumke, Reiner R;";International Workshop on Software Measurement;;;76-86;2009;Springer;SQ1;;;;x;x;x;x;;;;;;
Assessment of the integration capability of system architectures from a complex and distributed software systems perspective;"Leuchter, S; Reinert, F; Müller, W;";Open Architecture/Open Business Model Net-Centric Systems and Defense Transformation 2014;9096;;17-25;2014;SPIE;SQ1;;;;x;x;x;;;;;;;
On the Need of a Methodological Approach for the Assessment of Software Architectures within ISO26262;"Bonfiglio, Valentina; Montecchi, Leonardo; Rossi, Francesco; Bondavalli, Andrea;";SAFECOMP 2013-Workshop CARS (2nd Workshop on Critical Automotive applications: Robustness & Safety) of the 32nd International Conference on Computer Safety, Reliability and Security;;;NA;2013;;SQ1;;x;x;x;x;x;;;x;;;;
Development of variant of software architecture implementation for low-power general purpose microcontrollers by finite state machines;"Katin, Pavlo;";EUREKA: Physics and Engineering;;3;49-54;2017;;SQ1;;;;x;x;x;;;;;;;
Municipal information models and federated software architecture for implementing integrated infrastructure management environments;"Halfawy, Mahmoud R;";Automation in Construction;19;4;433-446;2010;Elsevier;SQ1;;;;x;x;x;;;;;;;
Software architecture decoupling at Ericsson;"Bjuhr, Oscar; Segeljakt, Klas; Addibpour, Mattin; Heiser, Franz; Lagerström, Robert;";2017 IEEE International Conference on Software Architecture Workshops (ICSAW);;;259-262;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecture-based self-adaptation;"Garlan, David; Schmerl, Bradley; Cheng, Shang-Wen;";Autonomic computing and networking;;;31-55;2009;Springer;SQ1;;;;x;x;x;;;;;;;
Managing security in software: Or: How i learned to stop worrying and manage the security technical debt;"Rindell, Kalle; Bernsmed, Karin; Jaatun, Martin Gilje;";Proceedings of the 14th International Conference on Availability, Reliability and Security;;;1-8;2019;;SQ1;;;;x;x;x;;;;;;;
Quality attribute design primitives and the attribute driven design method;"Bass, Len; Klein, Mark; Bachmann, Felix;";International workshop on software product-family engineering;;;169-186;2001;Springer;SQ1;;;;x;x;x;;;;;;;
An approach to validation of software architecture model;"Fu, Yujian; Dong, Zhijiang; He, Xudong;";12th Asia-Pacific Software Engineering Conference (APSEC'05);;;8 pp.;2005;IEEE;SQ1;;;;x;x;x;;;;;;;
Quantitative architecture usability assessment with scenarios;"Ionita, Mugurel T; America, Pierre; Obbink, Henk; Hammer, Dieter;";CLOSING THE GAPS: Software Engineering and Human-Computer Interaction;;;;2003;;SQ1;;;;x;x;x;;;;;;;
Moving towards quality attribute driven software architecture reconstruction;"Stoermer, Christoph; O'Brien, Liam; Verhoef, Chris;";10th Working Conference on Reverse Engineering, 2003. WCRE 2003. Proceedings.;;;46-46;2003;Citeseer;SQ1;;;;x;x;x;;;;;;;
New Trends in Intelligent Software Methodologies, Tools and Techniques: Proceedings of the 16th International Conference SoMeT_17;"Fujita, Hamido; Selamat, Ali; Omatu, Sigeru;";;297;;;2017;IOS Press;SQ1;;;;x;x;x;;;;;;;
Six years of evaluating software architectures in student projects;"Svahnberg, Mikael; Mårtensson, Frans;";Journal of Systems and Software;80;11;1893-1901;2007;Elsevier;SQ1;;;;x;x;x;;;;;;;
Software architecture for human-centered reliability assessment for neural;"Brüggemann, D; Chan, R; Gottschalk, H; Bracke, S;";;;;;;;SQ1;;;;x;x;x;;;;;;;
A New Process for Acquiring Software Architecture;"Saunders, Thomas F; Horowitz, Barry M; Mleziva, Matt L;";;;;;1992;MITRE CORP BEDFORD MA;SQ1;;;;x;x;x;;;;;;;
On service-orientation for automotive software;"Kugele, Stefan; Obergfell, Philipp; Broy, Manfred; Creighton, Oliver; Traub, Matthias; Hopfensitz, Wolfgang;";2017 IEEE International Conference on Software Architecture (ICSA);;;193-202;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecting without requirements knowledge and experience: What are the repercussions?;"Ferrari, Remo; Madhavji, Nazim H;";Journal of Systems and Software;81;9;1470-1490;2008;Elsevier;SQ1;;;;x;x;x;;;;;;;
Assessing architectural drift in commercial software development: a case study;"Rosik, Jacek; Le Gear, Andrew; Buckley, Jim; Babar, Muhammad Ali; Connolly, Dave;";Software: Practice and Experience;41;1;63-86;2011;Wiley Online Library;SQ1;;;;x;x;x;;;;;;;
Architecture analysis to predict project risks: using containers to aid risk assessment;"Leigh, Andrew;";Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings;;;44-47;2017;;SQ1;;;;x;x;x;;;;;;;
On a language based method for software performance engineering of client/server systems;"Menascé, Daniel A; Gomaa, Hassan;";Proceedings of the 1st International Workshop on Software and Performance;;;63-69;1998;;SQ1;;;;x;x;x;;;;;;;
Integrating the Architecture Tradeoff Analysis Method (ATAM) with the cost benefit analysis method (CBAM);"Nord, Robert L; Barbacci, Mario R; Clements, Paul; Kazman, Rick; Klein, Mark;";;;;;2003;Carnegie-Mellon Univ Pittsburgh Pa Software Engineering Inst;SQ1;;;;x;x;x;;;;;;;
NASA integrated network monitor and control software architecture;"Shames, Peter; Anderson, Michael; Kowal, Steve; Levesque, Michael; Sindiy, Oleg; Donahue, Kenneth; Barnes, Patrick;";;;;;2012;Pasadena, CA: Jet Propulsion Laboratory, National Aeronautics and Space …;SQ1;;;;x;x;x;;;;;;;
Software with service oriented architecture quality assessment;"Nuraini, Aminah; Widyani, Yani;";2014 International Conference on Data and Software Engineering (ICODSE);;;1-6;2014;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
Measuring architecture sustainability;"Koziolek, Heiko; Domis, Dominik; Goldschmidt, Thomas; Vorst, Philipp;";IEEE software;30;6;54-62;2013;IEEE;SQ1;;;;x;x;x;;;;;;;
Capturing and using quality attributes knowledge in software architecture evaluation process;"Babar, Muhammad Ali; Capilla, Rafael;";2008 First International Workshop on Managing Requirements Knowledge;;;53-62;2008;IEEE;SQ1;;;;x;x;x;;;;;;;
A survey of the use and documentation of architecture design rationale;"Tang, Antony; Babar, Muhammad Ali; Gorton, Ian; Han, Jun;";5th Working IEEE/IFIP Conference on Software Architecture (WICSA'05);;;89-98;2005;IEEE;SQ1;;;;x;x;x;x;;;;;;
Designing, Documenting, and Evaluating Software Architecture;"da Cruz, David Bettencourt; Penzenstadler, Birgit;";;;;;2008;;SQ1;;;;x;x;;;;;;;;
Evaluation of academic performance based on learning analytics and ontology: a systematic mapping study;"Costa, Laecio A; Salvador, Laís N; Amorim, Ricardo R;";2018 IEEE Frontiers in Education Conference (FIE);;;1-5;2018;IEEE;SQ1;;;;x;x;x;x;;;;;;
A survey on software architecture analysis methods;"Dobrica, Liliana; Niemela, Eila;";IEEE Transactions on software Engineering;28;7;638-653;2002;Ieee;SQ1;;;;x;x;x;x;;;;;;
A framework for classifying and comparing software architecture evaluation methods;"Babar, Muhammad Ali; Zhu, Liming; Jeffery, Ross;";2004 Australian Software Engineering Conference. Proceedings.;;;309-318;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
Scenario-based software architecture evaluation methods: An overview;"Ionita, Mugurel T; Hammer, Dieter K; Obbink, Henk;";Workshop on methods and techniques for software architecture review and assessment at the international conference on software engineering;;;1-12;2002;Citeseer;SQ1;;;;x;x;x;;;;;;;
Comparison of scenario-based software architecture evaluation methods;"Babar, Muhammad Ali; Gorton, Ian;";11th Asia-Pacific Software Engineering Conference;;;600-607;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
Methods for evaluating software architecture: A survey;"Roy, Banani; Graham, TC Nicholas;";School of Computing TR;545;;82;2008;Citeseer;SQ1;;;;x;x;x;x;;;;;;
Assessment of a framework for comparing software architecture analysis methods;"Ali Babar, Muhammad; Kitchenham, Barbara;";;;;;2007;;SQ1;;;;x;x;x;;;;;;;
Software architecture evaluation methods-a survey;"Shanmugapriya, P; Suresh, RM;";International Journal of Computer Applications;49;16;;2012;Citeseer;SQ1;;;;x;x;x;x;;;;;;
A survey on software architecture evaluation methods;"Patidar, Anil; Suman, Ugrasen;";2015 2nd International Conference on Computing for Sustainable Global Development (INDIACom);;;967-972;2015;IEEE;SQ1;;;;x;x;x;x;;;;;;
The art of software architecture: design methods and techniques;"Albin, Stephen T;";;9;;;2003;John Wiley & Sons;SQ1;;;;x;x;;;;;;;;
Scenario-based software architecture reengineering;"Bengtsson, PerOlof; Bosch, Jan;";Proceedings. Fifth International Conference on Software Reuse (Cat. No. 98TB100203);;;308-317;1998;IEEE;SQ1;;;;x;x;x;;;;;;;
A software architecture reconstruction method;"Guo, George Yanbing; Atlee, Joanne M; Kazman, Rick;";Working Conference on Software Architecture;;;15-33;1999;Springer;SQ1;;;;x;x;x;;;;;;;
